Date,Open,High,Low,Close,Adj Close,Volume,Stock,Country
2011-12-31,10938.7216796875,11012.51953125,10823.6328125,10946.62890625,8427.197265625,572136.0,GFI.JO,AFE
2012-12-31,9127.1689453125,9174.6103515625,9021.744140625,9114.869140625,7301.56298828125,433476.0,GFI.JO,AFE
2013-12-31,3310.0,3310.0,3208.0,3289.0,2661.48193359375,200166.0,GFI.JO,AFE
2014-12-31,5202.0,5297.0,5176.0,5231.0,4273.9970703125,300593.0,GFI.JO,AFE
2015-12-31,4169.0,4264.0,4157.0,4220.0,3464.280029296875,393591.0,GFI.JO,AFE
2016-12-31,4325.0,4376.0,4300.0,4359.0,3612.449951171875,1202300.0,GFI.JO,AFE
2017-12-31,5335.0,5480.0,5325.0,5410.0,4582.82861328125,715704.0,GFI.JO,AFE
2018-12-31,5002.0,5004.0,4881.0,4934.0,4247.68701171875,811208.0,GFI.JO,AFE
2019-12-31,9440.0,9602.0,9488.0,9587.0,8339.0390625,573976.0,GFI.JO,AFE
2020-12-31,14034.0,14060.0,13757.0,13757.0,12177.271484375,946739.0,GFI.JO,AFE
2010-12-31,25700.0,25747.0,25537.0,25682.0,14476.517578125,250484.0,BTI.JO,AFE
2011-12-31,38800.0,38800.0,38292.0,38349.0,22661.4765625,326676.0,BTI.JO,AFE
2012-12-31,42699.0,43050.0,42660.0,42822.0,26367.779296875,403220.0,BTI.JO,AFE
2013-12-31,54855.0,56017.0,54855.0,56013.0,35847.140625,126633.0,BTI.JO,AFE
2014-12-31,63506.0,63513.0,62905.0,63200.0,42248.7890625,80768.0,BTI.JO,AFE
2015-12-31,88309.0,88309.0,86441.0,87314.0,60771.109375,95104.0,BTI.JO,AFE
2016-12-31,76900.0,78244.0,76900.0,77861.0,56222.41796875,74520.0,BTI.JO,AFE
2017-12-31,83001.0,83600.0,82384.0,82950.0,61934.375,123306.0,BTI.JO,AFE
2018-12-31,47500.0,47647.0,46513.0,46930.0,36456.3125,283516.0,BTI.JO,AFE
